ReviewID,ProductID,CustomerID,Rating,ReviewText,ReviewDate
1,1,1,4,"Great product, very satisfied with my purchase",2024-03-01
2,2,2,5,"Excellent service, fast delivery!",2024-03-01
3,3,3,3,Product quality is good but shipping was slow,2024-03-01
4,4,4,4,Impressed with the packaging,2024-03-01
5,5,5,2,"Item arrived damaged, disappointed",2024-03-01
6,6,6,5,"Best purchase ever, highly recommend!",2024-03-01
7,7,7,4,"Exactly as described, happy with my purchase",2024-03-01
8,8,8,3,"Average product, nothing special",2024-03-01
9,9,9,4,Great value for the price,2024-03-01
10,10,10,5,Fantastic customer service!,2024-03-01
11,11,11,2,Disappointed with the product quality,2024-03-01
12,12,12,5,"Super fast shipping, thank you!",2024-03-01
13,13,13,3,Product didn't meet expectations,2024-03-01
14,14,14,4,Good experience overall,2024-03-01
15,15,15,5,"Love it, will definitely buy again",2024-03-01
16,16,16,2,Item was not as described,2024-03-01
17,17,17,4,"Prompt delivery, satisfied with my purchase",2024-03-01
18,18,18,3,"Could be better, but not bad",2024-03-01
19,19,19,4,Highly recommend this product!,2024-03-01
20,20,20,5,"Absolutely amazing, exceeded my expectations",2024-03-01
